item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,Tensorflow,https://www.tensorflow.org/,https://github.com/tensorflow/tensorflow,tensorflow.svg,https://www.crunchbase.com/organization/google,https://twitter.com/TensorFlow,Deep Learning,Framework,,,,,,,
,DeepDetect,https://www.deepdetect.com/,https://github.com/jolibrain/deepdetect,deepdetect.svg,https://www.crunchbase.com/organization/jolibrain,https://twitter.com/jolibrain,Deep Learning,Platform,,,,,,,
,Determined AI,https://www.determined.ai,https://github.com/determined-ai/determined,determined-ai.svg,https://www.crunchbase.com/organization/determined-ai,https://twitter.com/determinedai,Deep Learning,Platform,,,,,,,
,Jina,https://jina.ai,https://github.com/jina-ai/jina,jina-search.svg,https://www.crunchbase.com/organization/jina-ai,,Deep Learning,Platform,,,,,,,
,Onepanel,https://docs.onepanel.ai,https://github.com/onepanelio/onepanel,onepanel.svg,https://www.crunchbase.com/organization/onepanel,,Deep Learning,Platform,,,,,,,
,Polyaxon,https://polyaxon.com,https://github.com/polyaxon/polyaxon,polyaxon.svg,https://www.crunchbase.com/organization/polyaxon,https://www.twitter.com/polyaxonAI,Deep Learning,Platform,,,,,,,
,TonY,https://github.com/tony-framework/TonY,https://github.com/tony-framework/TonY,tony.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Deep Learning,Platform,incubating,,,,,,
,X-DeepLearning,https://github.com/alibaba/x-deeplearning,https://github.com/alibaba/x-deeplearning,x-deeplearning.svg,https://www.crunchbase.com/organization/alibaba,,Deep Learning,Platform,,,,,,,
,BigDL,https://bigdl-project.github.io/0.9.0/,https://github.com/intel-analytics/BigDL,bigdl.svg,https://www.crunchbase.com/organization/intel,,Deep Learning,Library,,,,,,,
,Catalyst,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,catalyst.svg,https://www.crunchbase.com/organization/catalyst-team,,Deep Learning,Library,,,,,,,
,Eclipse Deeplearning4j,https://deeplearning4j.konduit.ai/,https://github.com/eclipse/deeplearning4j,deeplearning4j.svg,https://www.crunchbase.com/organization/eclipse-foundation,,Deep Learning,Library,,,,,,,
,fast.ai,https://www.fast.ai/,https://github.com/fastai/fastai,fast-ai.svg,https://www.crunchbase.com/organization/fast-ai,https://twitter.com/fastdotai,Deep Learning,Library,,,,,,,
,Keras,https://keras.io/,https://github.com/keras-team/keras,keras.svg,https://www.crunchbase.com/organization/keras,https://twitter.com/fchollet,Deep Learning,Library,,,,,,,
,Neural Network Libraries,https://nnabla.org,https://github.com/sony/nnabla,nnl.svg,https://www.crunchbase.com/organization/sony,,Deep Learning,Library,,,,,,,
,PyTorch Ignite,https://pytorch.org/ignite/,https://github.com/pytorch/ignite,py-torch-ignite.svg,https://www.crunchbase.com/organization/pytorch,https://twitter.com/pytorch_ignite,Deep Learning,Library,,,,,,,
,PyTorch Lightning,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,pytorch-lightning.svg,https://www.crunchbase.com/organization/pytorch-lightning,https://twitter.com/pytorchlightnin,Deep Learning,Library,,,,,,,
,PyTorchVideo,https://pytorchvideo.org/,https://github.com/facebookresearch/pytorchvideo,py-torch-video.svg,https://www.crunchbase.com/organization/pytorch,,Deep Learning,Library,,,,,,,
,BeyondML,https://github.com/Beyond-ML-Labs/mann,https://github.com/Beyond-ML-Labs/mann,BeyondML.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Deep Learning,Tool,sandbox,,,,,,
,BoTorch,https://botorch.org/,https://github.com/pytorch/botorch,botorch.svg,https://www.crunchbase.com/organization/facebook,,Deep Learning,Tool,,,,,,,
