id,name,homepage_url,repo_url,category,subcategory
substra,Substra,https://github.com/Substra/substra,https://github.com/Substra/substra,Model,Federated Learning
tensorflowfederated,TensorFlow Federated,https://www.tensorflow.org/federated,https://github.com/tensorflow/federated,Model,Federated Learning
deepspeed,DeepSpeed,https://www.deepspeed.ai/,https://github.com/microsoft/DeepSpeed,Model,Training
embeddedlearninglibrary,Embedded Learning Library,https://microsoft.github.io/ELL/,https://github.com/Microsoft/ELL,Model,Training
horovod,Horovod,https://horovod.ai/,https://github.com/horovod/horovod,Model,Training
ludwig,Ludwig,https://ludwig-ai.github.io/ludwig-docs/,https://github.com/ludwig-ai/ludwig,Model,Training
petastorm,Petastorm,https://eng.uber.com/petastorm/,https://github.com/uber/petastorm,Model,Training
torchrec,TorchRec,https://pytorch.org/torchrec/,https://github.com/pytorch/torchrec,Model,Training
hyperopt,HyperOpt,https://hyperopt.github.io/hyperopt/,https://github.com/hyperopt/hyperopt,Model,Parameter
katib,Katib,https://github.com/kubeflow/katib,https://github.com/kubeflow/katib,Model,Parameter
talos,talos,https://github.com/autonomio/talos,https://github.com/autonomio/talos,Model,Parameter
neuropod,Neuropod,https://neuropod.ai/docs/stable,https://github.com/uber/neuropod,Model,Format & Interface
onnx,ONNX,https://onnx.ai/,https://github.com/onnx/onnx,Model,Format & Interface
acumos,Acumos,https://www.acumos.org/,https://github.com/acumos/documentation,Model,Marketplace
machinelearningexchange,Machine Learning eXchange,https://www.ml-exchange.org/,https://github.com/machine-learning-exchange/mlx,Model,Marketplace
modelassetexchange(max),Model Asset eXchange (MAX),https://developer.ibm.com,https://github.com/IBM/MAX-Base,Model,Marketplace
claimed,CLAIMED,https://github.com/claimed-framework/,https://github.com/claimed-framework/component-library,Model,Workflow
apacheairflow,Apache Airflow,https://airflow.apache.org/,https://github.com/apache/airflow,Model,Workflow
apachenifi,Apache Nifi,https://nifi.apache.org,https://github.com/apache/nifi,Model,Workflow
argo,Argo,https://argoproj.github.io/,https://github.com/argoproj/argo-workflows,Model,Workflow
azkaban,Azkaban,https://azkaban.github.io,https://github.com/azkaban/azkaban,Model,Workflow
bentoml,BentoML,https://www.bentoml.com,https://github.com/bentoml/BentoML,Model,Workflow
cadence,Cadence,https://cadenceworkflow.io/,https://github.com/uber/cadence,Model,Workflow
couler,Couler,https://github.com/couler-proj/couler,https://github.com/couler-proj/couler,Model,Workflow
cyclone,Cyclone,https://github.com/caicloud/cyclone,https://github.com/caicloud/cyclone,Model,Workflow
d6tflow,d6tflow,https://d6tflow.readthedocs.io/en/latest,https://github.com/d6t/d6tflow,Model,Workflow
flyte,Flyte,https://flyte.org,https://github.com/flyteorg/flyte,Model,Workflow
kedro,Kedro,https://kedro.org/,https://github.com/kedro-org/kedro,Model,Workflow
kestra,Kestra,https://kestra.io/,https://github.com/kestra-io/kestra,Model,Workflow
luigi,Luigi,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Model,Workflow
mleap,mleap,https://mleap-docs.combust.ml,https://github.com/combust/mleap,Model,Workflow
orchest,Orchest,https://orchest.io/,https://github.com/orchest/orchest,Model,Workflow
prefect,Prefect,https://docs.prefect.io/,https://github.com/prefecthq/prefect,Model,Workflow
trains,TRAINS,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Model,Workflow
volcano,Volcano,https://github.com/volcano-sh/volcano,https://github.com/volcano-sh/volcano,Model,Workflow
dawnbench,DAWNBench,https://dawn.cs.stanford.edu/benchmark/,https://github.com/stanford-futuredata/dawn-bench-entries,Model,Benchmarking
mlperf,MLPerf,https://mlcommons.org/en,https://github.com/mlcommons/training,Model,Benchmarking
aimet,AIMET,https://github.com/quic/aimet,https://github.com/quic/aimet,Model,Tool
clipper,Clipper,https://auction.whois.ai,https://github.com/ucbrise/clipper,Model,Tool
dlrm,dlrm,https://github.com/facebookresearch/dlrm,https://github.com/facebookresearch/dlrm,Model,Tool
flagai,FlagAI,https://github.com/BAAI-Open/FlagAI,https://github.com/BAAI-Open/FlagAI,Model,Tool
flaml,FLAML,https://github.com/microsoft/FLAML,https://github.com/microsoft/FLAML,Model,Tool
mmdnn,MMdnn,https://github.com/Microsoft/MMdnn,https://github.com/Microsoft/MMdnn,Model,Tool
modelserverforapachemxnet,Model Server for Apache MXNet,https://github.com/awslabs/multi-model-server,https://github.com/awslabs/multi-model-server,Model,Tool
modeldb,ModelDB,https://github.com/VertaAI/modeldb,https://github.com/VertaAI/modeldb,Model,Tool
neo-ai,Neo-AI,https://github.com/neo-ai/neo-ai-dlr,https://github.com/neo-ai/neo-ai-dlr,Model,Tool
netron,Netron,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,Model,Tool
